UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,Failure_type
56,M00055,L,300.46,310.52,1638,28.42,153,0,No Failure
57,M00056,L,297.79,306.46,1860,39.6,201,0,No Failure
58,M00057,L,301.28,310.51,1494,26.34,132,0,No Failure
59,M00058,H,300.81,311.59,1617,65.74,139,0,No Failure
60,M00059,L,300.95,311.26,2039,38.4,83,0,No Failure
61,M00060,L,300.01,311.64,1334,44.12,53,0,No Failure
62,M00061,H,299.03,311.06,1372,53.31,45,0,No Failure
63,M00062,H,298.45,309.99,1810,33.06,68,0,No Failure
64,M00063,L,300.65,310.45,1730,44.19,174,0,No Failure
65,M00064,L,302.84,314.16,1092,32.3,12,0,No Failure
66,M00065,M,301.64,312.32,1842,56.68,59,0,No Failure
67,M00066,L,300.79,311.12,1320,39.79,180,0,No Failure
68,M00067,L,302.1,312.38,1336,44.72,138,0,No Failure
69,M00068,H,302.78,312.74,1770,41.07,129,0,No Failure
70,M00069,H,297.46,306.32,1635,59.24,3,0,No Failure
71,M00070,L,299.96,310.46,1649,43.87,62,0,No Failure
72,M00071,L,302.57,311.71,1874,38.1,228,0,No Failure
73,M00072,M,298.72,308.72,1762,33.78,219,0,No Failure
74,M00073,M,299.1,310.1,900,44.7,238,1,General Failure
75,M00074,L,301.33,312.31,1586,30.68,68,0,No Failure
76,M00075,L,299.62,307.46,1693,42.79,138,0,No Failure
77,M00076,L,302.56,311.79,1514,38.51,111,0,No Failure
78,M00077,M,299.44,308.17,1447,40.9,208,0,No Failure
79,M00078,L,301.31,311.67,1576,32.2,152,0,No Failure
80,M00079,M,305.25,314.4,1572,35.12,11,0,No Failure
81,M00080,L,302.45,313.59,1499,32.1,4,0,No Failure
82,M00081,M,297.3,306.78,1480,40.75,7,0,No Failure
83,M00082,L,297.94,308.51,1239,53.94,205,1,General Failure
84,M00083,L,298.01,306.87,1537,48.02,220,1,General Failure
85,M00084,L,299.98,309.11,1331,48.47,31,0,No Failure
86,M00085,M,297.2,306.88,1714,56.02,92,0,No Failure
87,M00086,M,301.23,311.75,1376,24.11,133,0,No Failure
88,M00087,M,303.62,311.18,1407,53.15,13,0,No Failure
89,M00088,L,303.29,313.38,1178,31.39,0,0,No Failure
90,M00089,L,298.51,306.78,1437,50.5,107,0,No Failure
91,M00090,L,299.5,309.69,1642,39.62,203,0,No Failure
92,M00091,L,299.45,307.31,1208,46.2,166,0,No Failure
93,M00092,L,298.37,307.83,1788,16.4,192,0,No Failure
94,M00093,L,303.55,314.95,1519,31.7,112,0,No Failure
95,M00094,M,298.65,310.34,1441,39.78,161,0,No Failure
96,M00095,L,297.77,306.53,1681,47.16,197,1,General Failure
97,M00096,L,300.8,312.78,1579,32.59,249,0,No Failure
98,M00097,M,300.74,310.19,1007,17.53,136,0,No Failure
99,M00098,H,303.18,313.18,1744,30.4,80,0,No Failure
100,M00099,M,303.2,313.75,1647,32.54,16,0,No Failure
101,M00100,L,299.67,309.74,1481,46.4,17,0,No Failure
102,M00101,L,295.74,306.11,900,28.52,162,0,No Failure
103,M00102,M,301.43,311.59,900,49.37,113,0,No Failure
104,M00103,L,301.69,312.66,1031,40.16,143,0,No Failure
105,M00104,M,303.72,313.91,1692,39.84,10,0,No Failure
106,M00105,L,296.8,306.22,1728,43.36,143,0,No Failure
107,M00106,L,297.63,306.37,1514,47.81,119,0,No Failure
108,M00107,M,303.21,311.9,1475,42.68,64,0,No Failure
109,M00108,L,303.35,313.17,917,36.63,183,0,No Failure
110,M00109,L,302.67,313.44,1473,36.72,54,0,No Failure
111,M00110,L,299.96,310.25,1245,40.09,195,0,No Failure
112,M00111,L,302.65,312.2,1438,40.39,152,0,No Failure
113,M00112,H,298.86,309.28,1223,33.87,114,0,No Failure
114,M00113,M,297.44,306.68,1680,42.34,210,0,No Failure
115,M00114,M,299.86,309.91,1405,39.05,224,0,No Failure
116,M00115,M,300.19,310.64,1574,40.46,197,0,No Failure
117,M00116,L,301.63,311.09,1473,39.01,1,0,No Failure
118,M00117,L,302.21,313.7,1304,25.88,76,0,No Failure
119,M00118,L,296.36,307.59,1104,34.09,226,0,No Failure
120,M00119,H,300.54,310.11,1164,38.11,0,0,No Failure
121,M00120,L,300.96,311.6,1256,34.07,109,0,No Failure
122,M00121,M,297.37,307.5,1506,39.33,110,0,No Failure
123,M00122,M,299.41,309.71,1990,43.85,200,1,General Failure
124,M00123,L,300.06,310.36,1587,57.34,148,1,General Failure
125,M00124,M,300.86,312.33,1462,51.64,76,0,No Failure
126,M00125,M,298.18,308.5,1715,33.03,52,0,No Failure
127,M00126,L,298.71,309.0,1206,37.79,125,0,No Failure
128,M00127,M,297.68,308.73,1562,36.24,187,0,No Failure
129,M00128,L,300.63,311.64,1566,33.27,168,0,No Failure
130,M00129,L,299.25,311.24,932,31.68,224,0,No Failure
131,M00130,H,298.73,307.74,1563,35.53,28,0,No Failure
132,M00131,H,301.24,312.0,1341,42.74,83,0,No Failure
133,M00132,M,299.58,307.4,1463,50.12,128,0,No Failure
134,M00133,L,297.47,307.49,1421,59.22,151,0,No Failure
135,M00134,M,302.25,310.72,1523,50.23,66,0,No Failure
136,M00135,M,301.92,310.36,1293,33.8,107,0,No Failure
137,M00136,L,300.86,310.71,1707,37.1,101,0,No Failure
138,M00137,M,297.8,306.53,1737,46.48,1,0,No Failure
139,M00138,L,302.19,311.83,1241,47.01,51,0,No Failure
140,M00139,H,298.72,305.51,1549,49.21,187,0,No Failure
141,M00140,L,296.1,307.7,1432,25.5,23,0,No Failure
142,M00141,H,299.66,306.5,1815,45.57,164,0,No Failure
143,M00142,L,303.6,312.8,1294,37.7,53,0,No Failure
144,M00143,L,299.0,310.98,1526,48.33,24,0,No Failure
145,M00144,M,301.12,309.5,1444,33.71,88,0,No Failure
146,M00145,H,302.71,314.7,1131,44.54,197,0,No Failure
147,M00146,M,300.3,311.58,1762,33.32,14,0,No Failure
148,M00147,M,299.28,309.18,1561,49.88,228,1,General Failure
149,M00148,L,299.94,309.51,1182,38.35,155,0,No Failure
150,M00149,M,301.1,310.76,1701,57.45,183,1,General Failure
151,M00150,L,298.88,309.2,1737,25.14,132,0,No Failure
152,M00151,H,300.63,311.77,1100,27.27,81,0,No Failure
153,M00152,M,301.05,312.61,1429,50.27,68,0,No Failure
154,M00153,L,299.15,306.68,1418,42.46,61,0,No Failure
155,M00154,M,301.38,312.41,1436,40.13,108,0,No Failure
156,M00155,L,301.06,311.79,1464,34.96,78,0,No Failure
157,M00156,H,299.26,307.82,1381,43.84,79,0,No Failure
158,M00157,M,299.55,310.6,1044,45.38,91,0,No Failure
159,M00158,L,300.15,311.25,1495,39.45,11,0,No Failure
160,M00159,M,299.62,310.7,1154,46.05,247,1,General Failure
161,M00160,M,299.5,309.43,1336,57.8,185,0,No Failure
162,M00161,M,297.85,308.79,1615,43.58,34,0,No Failure
163,M00162,H,300.14,311.58,1961,53.42,61,0,No Failure
164,M00163,L,301.41,310.65,1842,37.54,17,0,No Failure
165,M00164,L,301.22,310.64,1319,35.88,100,0,No Failure
166,M00165,L,298.26,307.58,1446,33.07,105,0,No Failure
167,M00166,L,301.06,312.46,1845,29.28,123,0,No Failure
168,M00167,L,301.16,311.19,1643,32.9,140,0,No Failure
169,M00168,M,298.07,307.21,1728,34.7,140,0,No Failure
170,M00169,H,300.98,309.78,1303,43.87,43,0,No Failure
171,M00170,M,299.58,308.08,1653,26.84,172,0,No Failure
172,M00171,M,299.18,309.45,1680,52.11,184,0,No Failure
173,M00172,H,300.4,311.39,1865,25.95,38,0,No Failure
174,M00173,M,299.51,311.01,1967,46.08,236,1,General Failure
175,M00174,L,295.45,304.27,1356,43.54,8,0,No Failure
176,M00175,M,300.35,309.21,1880,42.99,158,0,No Failure
177,M00176,L,297.68,306.55,1457,36.76,223,0,No Failure
178,M00177,M,299.74,308.72,1548,45.32,181,0,No Failure
179,M00178,H,301.3,309.51,1891,20.36,50,0,No Failure
180,M00179,L,299.46,311.24,1582,55.17,154,0,No Failure
181,M00180,H,299.03,309.55,1668,44.63,176,0,No Failure
182,M00181,L,300.2,309.57,1952,44.94,20,0,No Failure
183,M00182,H,300.92,307.87,2104,40.2,63,0,No Failure
184,M00183,L,298.24,309.81,1711,30.68,163,0,No Failure
185,M00184,M,298.65,309.52,1281,35.94,23,0,No Failure
186,M00185,L,300.92,311.02,1580,27.3,226,0,No Failure
187,M00186,L,303.12,313.92,1384,38.48,231,0,No Failure
188,M00187,L,299.91,309.06,1429,44.4,11,0,No Failure
189,M00188,L,301.67,312.38,1610,25.19,113,0,No Failure
190,M00189,M,298.43,307.74,1447,49.34,139,0,No Failure
191,M00190,M,299.93,310.42,1510,39.44,101,0,No Failure
192,M00191,L,300.06,309.82,1479,37.3,32,0,No Failure
193,M00192,M,297.33,305.74,1463,46.27,136,0,No Failure
194,M00193,L,299.87,308.55,1022,38.08,49,0,No Failure
195,M00194,H,299.53,310.75,1429,38.36,67,0,No Failure
196,M00195,L,294.8,305.92,1448,40.48,102,0,No Failure
197,M00196,M,299.72,309.44,1878,33.0,70,0,No Failure
198,M00197,H,300.47,309.59,1694,38.98,234,0,No Failure
199,M00198,L,300.36,309.77,1556,26.57,208,0,No Failure
200,M00199,M,300.51,310.9,1340,40.99,143,0,No Failure
201,M00200,M,297.65,305.96,1610,55.98,232,1,General Failure
202,M00201,M,298.39,309.47,1118,42.43,137,0,No Failure
203,M00202,M,299.47,308.45,1650,44.22,124,0,No Failure
204,M00203,L,298.12,306.73,1304,44.61,106,0,No Failure
205,M00204,H,298.91,308.82,1313,30.34,69,0,No Failure
206,M00205,L,302.28,314.48,1773,35.47,221,0,No Failure
207,M00206,H,298.08,307.2,1486,40.46,98,0,No Failure
208,M00207,M,299.16,308.65,1445,39.83,148,0,No Failure
209,M00208,M,303.49,312.06,1184,32.24,189,0,No Failure
210,M00209,H,299.58,309.82,1816,36.35,134,0,No Failure
211,M00210,L,297.86,308.12,900,38.62,118,0,No Failure
212,M00211,H,300.37,310.3,1606,41.9,61,0,No Failure
213,M00212,L,300.22,309.7,1557,24.92,33,0,No Failure
214,M00213,M,300.15,310.52,1600,44.12,174,0,No Failure
215,M00214,L,296.58,307.46,1332,43.36,196,0,No Failure
216,M00215,L,300.45,309.86,1226,34.65,41,0,No Failure
217,M00216,L,300.65,310.29,1935,20.17,27,0,No Failure
218,M00217,M,304.0,313.17,1608,38.16,220,0,No Failure
219,M00218,L,301.27,310.54,1725,26.23,182,0,No Failure
220,M00219,L,299.07,310.41,1077,46.67,222,1,General Failure
221,M00220,M,300.57,309.31,1744,31.11,78,0,No Failure
222,M00221,L,301.29,311.42,1869,49.14,203,0,No Failure
223,M00222,H,299.68,310.82,1704,58.48,60,0,No Failure
224,M00223,L,299.89,309.21,1067,49.09,61,0,No Failure
225,M00224,H,302.7,313.3,1198,42.06,42,0,No Failure
226,M00225,M,300.97,311.75,900,32.54,185,0,No Failure
227,M00226,H,301.03,309.22,1554,39.53,110,0,No Failure
228,M00227,M,298.11,309.17,1737,39.97,83,0,No Failure
229,M00228,L,300.88,309.59,1559,31.35,78,0,No Failure
230,M00229,L,296.28,306.33,1361,17.22,171,0,No Failure
231,M00230,H,302.49,310.59,1243,36.82,74,0,No Failure
232,M00231,H,299.15,307.13,1689,44.5,71,0,No Failure
233,M00232,L,301.33,310.93,1221,41.1,13,0,No Failure
234,M00233,L,302.85,314.66,1962,37.13,35,0,No Failure
235,M00234,L,297.94,310.87,1621,32.56,203,0,No Failure
236,M00235,M,302.39,315.55,1845,40.84,84,0,No Failure
237,M00236,L,300.55,312.08,1529,50.26,189,0,No Failure
238,M00237,M,302.39,313.72,1430,13.61,54,0,No Failure
239,M00238,L,299.4,310.24,1621,53.79,136,0,No Failure
240,M00239,M,298.76,309.49,1289,36.33,185,0,No Failure
241,M00240,L,302.69,312.2,1437,38.11,31,0,No Failure
242,M00241,H,300.97,310.38,1460,38.48,198,0,No Failure
243,M00242,L,300.24,310.69,1250,28.38,192,0,No Failure
244,M00243,L,297.88,308.38,1615,49.82,205,0,No Failure
245,M00244,L,302.75,311.97,1205,22.93,106,0,No Failure
246,M00245,M,299.48,308.02,999,44.0,1,0,No Failure
247,M00246,L,299.71,308.8,1401,21.82,142,0,No Failure
248,M00247,L,298.78,312.71,1444,48.08,48,0,No Failure
249,M00248,H,300.17,309.29,1393,32.27,195,0,No Failure
250,M00249,L,301.32,312.99,1465,45.81,170,0,No Failure
251,M00250,M,300.02,311.43,1505,46.61,167,0,No Failure
252,M00251,L,299.96,311.21,1541,52.05,94,0,No Failure
253,M00252,L,299.05,308.28,1478,40.11,240,0,No Failure
254,M00253,H,303.07,315.44,1459,44.99,221,1,General Failure
255,M00254,L,303.33,313.65,1066,47.79,157,0,No Failure
256,M00255,L,299.55,308.8,1593,34.8,177,0,No Failure
257,M00256,L,298.39,307.5,1731,38.02,15,0,No Failure
258,M00257,M,300.64,310.43,1373,59.87,130,0,No Failure
259,M00258,M,296.93,309.41,1271,21.23,47,0,No Failure
260,M00259,L,300.6,309.02,1707,53.47,11,0,No Failure
261,M00260,L,300.64,309.8,1327,40.35,90,0,No Failure
262,M00261,L,300.43,310.41,1537,35.94,131,0,No Failure
263,M00262,L,303.25,313.79,1616,26.25,133,0,No Failure
264,M00263,M,303.72,312.41,1777,40.7,115,0,No Failure
265,M00264,M,300.99,309.76,2284,48.0,90,0,No Failure
266,M00265,H,299.4,308.69,1452,39.39,241,0,No Failure
267,M00266,L,302.14,312.89,900,54.74,138,0,No Failure
268,M00267,L,302.35,312.1,1538,33.34,241,0,No Failure
269,M00268,L,297.75,307.43,1311,36.53,58,0,No Failure
270,M00269,H,298.67,308.85,1673,39.92,204,0,No Failure
271,M00270,H,299.59,309.68,1604,34.97,212,0,No Failure
272,M00271,H,296.83,307.9,1744,40.78,19,0,No Failure
273,M00272,M,297.91,306.99,1504,33.38,42,0,No Failure
274,M00273,H,303.32,313.28,1741,29.56,206,0,No Failure
275,M00274,M,297.62,306.8,1383,35.2,31,0,No Failure
276,M00275,M,301.77,312.58,1701,44.53,166,0,No Failure
277,M00276,L,298.52,309.45,1228,47.32,58,0,No Failure
278,M00277,M,302.06,311.72,1273,31.99,97,0,No Failure
279,M00278,M,300.74,312.1,1475,50.43,193,0,No Failure
280,M00279,M,301.88,311.6,1666,40.97,159,0,No Failure
281,M00280,M,297.37,308.99,1255,39.29,216,0,No Failure
282,M00281,M,300.68,310.17,1500,32.06,111,0,No Failure
283,M00282,L,298.99,308.42,1661,40.74,165,0,No Failure
284,M00283,L,301.61,309.8,1677,36.19,10,0,No Failure
285,M00284,L,301.51,310.26,1208,32.13,122,0,No Failure
286,M00285,L,300.44,309.94,1971,46.63,93,0,No Failure
287,M00286,H,299.86,307.29,1403,45.89,138,0,No Failure
288,M00287,L,300.08,310.01,1603,40.18,247,0,No Failure
289,M00288,M,300.6,311.57,1884,49.6,219,1,General Failure
290,M00289,H,299.1,309.69,1306,48.0,156,0,No Failure
291,M00290,M,299.24,309.43,1010,45.73,181,0,No Failure
292,M00291,M,298.84,309.59,1808,41.7,189,0,No Failure
293,M00292,M,298.03,307.3,1133,33.03,234,0,No Failure
294,M00293,M,302.15,311.53,1537,40.16,190,0,No Failure
295,M00294,H,297.5,308.45,1277,46.64,138,0,No Failure
296,M00295,L,302.65,312.44,1990,40.87,119,0,No Failure
297,M00296,M,301.49,312.62,1596,40.78,138,0,No Failure
298,M00297,H,296.74,306.12,1951,42.49,19,0,No Failure
299,M00298,L,296.49,307.26,1638,48.45,48,0,No Failure
300,M00299,L,300.14,311.57,1365,32.73,55,0,No Failure
301,M00300,L,298.0,307.85,1734,47.21,52,0,No Failure
302,M00301,H,300.37,312.35,1242,54.14,181,1,General Failure
303,M00302,L,301.96,313.78,1358,27.6,81,0,No Failure
304,M00303,L,300.79,307.86,1736,30.09,55,0,No Failure
305,M00304,H,299.67,312.79,1696,41.51,13,0,No Failure
306,M00305,L,299.73,307.76,1258,53.11,55,0,No Failure
307,M00306,L,302.99,315.89,1460,52.94,113,0,No Failure
308,M00307,L,299.39,308.28,1448,47.23,228,1,General Failure
309,M00308,L,303.51,310.94,1174,46.42,143,0,No Failure
310,M00309,H,304.12,312.46,1793,41.7,193,0,No Failure
311,M00310,L,299.4,309.9,1178,42.44,120,0,No Failure
312,M00311,M,300.7,309.44,1470,52.11,208,1,General Failure
313,M00312,H,303.5,312.77,1491,32.11,38,0,No Failure
314,M00313,L,298.77,310.17,1517,37.91,230,0,No Failure
315,M00314,M,300.99,309.73,900,45.1,68,0,No Failure
316,M00315,L,302.22,312.76,1537,54.29,193,0,No Failure
317,M00316,L,298.12,309.59,1337,33.03,207,0,No Failure
318,M00317,M,300.89,308.62,1833,38.84,32,0,No Failure
319,M00318,L,300.42,308.97,1117,43.83,148,0,No Failure
320,M00319,M,299.13,309.34,1747,46.96,69,0,No Failure
321,M00320,L,303.2,313.15,1638,56.57,143,0,No Failure
322,M00321,M,299.91,310.2,1289,48.37,216,1,General Failure
323,M00322,M,304.66,312.21,1552,35.98,47,0,No Failure
324,M00323,L,301.59,310.53,1667,31.93,160,0,No Failure
325,M00324,L,298.8,309.23,1164,29.32,165,0,No Failure
326,M00325,M,300.71,311.37,1044,27.37,224,0,No Failure
327,M00326,L,298.69,310.17,1405,38.72,38,0,No Failure
328,M00327,L,301.8,311.3,1665,57.72,173,1,General Failure
329,M00328,M,301.49,310.58,1591,41.9,56,0,No Failure
330,M00329,L,297.86,306.65,1521,36.07,88,0,No Failure
331,M00330,L,299.38,308.23,1348,41.01,18,0,No Failure
332,M00331,M,301.12,308.63,1376,36.71,91,0,No Failure
333,M00332,H,300.31,312.3,1726,54.72,106,0,No Failure
334,M00333,L,298.27,307.69,1637,44.75,91,0,No Failure
335,M00334,H,302.33,311.43,1933,34.79,241,0,No Failure
336,M00335,L,302.86,312.04,1673,43.21,129,0,No Failure
337,M00336,H,297.27,307.88,1548,44.78,55,0,No Failure
338,M00337,M,303.07,313.13,1415,33.82,164,0,No Failure
339,M00338,L,296.17,305.16,1507,31.04,149,0,No Failure
340,M00339,L,299.89,311.03,1901,40.31,163,0,No Failure
341,M00340,L,298.85,309.1,1393,19.03,111,0,No Failure
342,M00341,L,299.07,308.76,1435,28.81,190,0,No Failure
343,M00342,L,300.5,310.42,1585,43.05,216,0,No Failure
344,M00343,L,297.86,309.2,1642,46.44,65,0,No Failure
345,M00344,L,299.94,310.7,1862,54.74,223,1,General Failure
346,M00345,L,303.44,313.24,1484,44.22,217,0,No Failure
347,M00346,L,301.03,312.19,2076,41.22,176,0,No Failure
348,M00347,M,303.05,310.37,1539,36.73,20,0,No Failure
349,M00348,L,301.83,312.61,1581,36.59,32,0,No Failure
350,M00349,M,296.95,305.86,1596,48.84,129,0,No Failure
351,M00350,L,303.61,312.78,1878,44.05,195,0,No Failure
352,M00351,M,301.81,311.44,1761,49.55,196,0,No Failure
353,M00352,L,301.42,313.59,1579,36.04,180,0,No Failure
354,M00353,L,299.4,309.12,1261,48.49,35,0,No Failure
355,M00354,M,299.11,308.86,1188,29.52,122,0,No Failure
356,M00355,L,298.08,308.72,1596,26.31,122,0,No Failure
357,M00356,M,299.84,307.35,1596,49.82,145,0,No Failure
358,M00357,H,300.36,310.0,1485,47.82,148,0,No Failure
359,M00358,M,299.83,310.57,1580,49.42,124,0,No Failure
360,M00359,M,299.84,308.56,1342,36.79,40,0,No Failure
361,M00360,M,296.33,306.95,1584,46.54,21,0,No Failure
362,M00361,H,298.66,307.66,1854,42.34,15,0,No Failure
363,M00362,L,298.58,306.7,1636,29.56,10,0,No Failure
364,M00363,H,300.71,311.69,1542,44.59,150,0,No Failure
365,M00364,L,299.24,309.26,1567,26.86,131,0,No Failure
366,M00365,H,299.24,310.08,1769,42.9,29,0,No Failure
367,M00366,L,300.29,310.43,1358,44.59,65,0,No Failure
368,M00367,L,299.19,307.83,1411,32.19,155,0,No Failure
369,M00368,M,299.56,310.72,1321,47.0,45,0,No Failure
370,M00369,M,302.25,312.7,1070,31.53,224,0,No Failure
371,M00370,H,299.79,310.24,1846,30.94,7,0,No Failure
372,M00371,L,298.34,307.83,1695,46.11,175,0,No Failure
373,M00372,L,301.27,309.91,1315,40.47,198,0,No Failure
374,M00373,M,301.67,313.36,1980,27.8,55,0,No Failure
375,M00374,L,301.33,312.26,1329,67.38,22,0,No Failure
376,M00375,H,297.53,307.74,1622,45.67,204,0,No Failure
377,M00376,L,301.94,311.22,1322,45.09,81,0,No Failure
378,M00377,L,300.19,311.79,1862,40.27,196,0,No Failure
379,M00378,M,300.36,309.34,1643,34.58,4,0,No Failure
380,M00379,L,300.28,309.36,1692,39.87,169,0,No Failure
381,M00380,H,301.0,313.56,1681,38.97,178,0,No Failure
382,M00381,L,301.06,311.79,2101,35.69,208,0,No Failure
383,M00382,L,302.98,314.09,939,34.34,5,0,No Failure
384,M00383,M,300.6,311.46,1416,46.32,239,1,General Failure
385,M00384,L,299.95,312.5,1553,33.46,35,0,No Failure
386,M00385,L,301.37,311.87,1668,52.96,171,0,No Failure
387,M00386,L,299.92,310.53,1509,48.94,65,0,No Failure
388,M00387,L,302.25,311.22,1530,37.47,139,0,No Failure
389,M00388,L,300.43,310.5,1756,40.97,90,0,No Failure
390,M00389,H,301.57,309.76,1770,33.96,225,0,No Failure
391,M00390,L,299.13,308.69,1400,41.01,235,0,No Failure
392,M00391,L,302.06,312.05,1857,41.88,13,0,No Failure
393,M00392,L,301.34,312.22,1557,42.42,209,0,No Failure
394,M00393,M,298.49,310.13,1607,42.96,49,0,No Failure
395,M00394,M,299.4,308.6,2086,44.64,29,0,No Failure
396,M00395,M,300.3,309.03,1936,46.87,224,1,General Failure
397,M00396,M,297.58,307.91,1062,35.28,167,0,No Failure
398,M00397,L,298.02,306.99,1745,41.6,141,0,No Failure
399,M00398,M,301.07,313.11,1799,31.26,80,0,No Failure
400,M00399,M,301.1,312.62,1642,18.42,169,0,No Failure
401,M00400,L,302.73,311.56,1393,31.33,114,0,No Failure
402,M00401,M,297.63,307.91,1926,32.48,213,0,No Failure
403,M00402,M,299.41,310.95,1422,32.87,170,0,No Failure
404,M00403,L,296.19,305.11,1542,49.12,60,0,No Failure
405,M00404,M,303.5,312.93,1352,36.4,151,0,No Failure
406,M00405,L,297.55,307.47,1488,51.0,81,0,No Failure
407,M00406,L,299.64,311.27,1155,35.54,0,0,No Failure
408,M00407,L,303.84,314.41,1831,32.75,54,0,No Failure
409,M00408,L,302.87,312.58,1373,39.38,92,0,No Failure
410,M00409,H,298.43,308.82,1542,56.26,112,0,No Failure
411,M00410,H,304.47,314.51,1432,29.3,24,0,No Failure
412,M00411,L,300.97,311.18,1918,43.1,203,0,No Failure
413,M00412,M,298.1,308.67,2070,48.22,80,0,No Failure
414,M00413,L,300.6,310.87,1657,48.79,2,0,No Failure
415,M00414,M,301.33,312.09,1579,35.63,223,0,No Failure
416,M00415,H,301.3,311.3,1594,44.96,125,0,No Failure
417,M00416,L,295.97,305.61,1286,42.55,118,0,No Failure
418,M00417,L,303.63,313.25,1278,56.48,158,0,No Failure
419,M00418,L,296.97,305.03,1379,42.1,164,0,No Failure
420,M00419,M,299.65,309.04,1547,38.1,1,0,No Failure
421,M00420,M,302.84,314.95,1353,33.29,140,0,No Failure
422,M00421,L,300.83,310.72,1450,42.48,155,0,No Failure
423,M00422,L,300.0,310.57,1527,25.06,130,0,No Failure
424,M00423,L,298.89,309.87,1680,20.44,105,0,No Failure
425,M00424,H,301.18,310.55,1548,32.43,15,0,No Failure
426,M00425,M,302.74,312.28,1361,48.27,60,0,No Failure
427,M00426,M,299.0,309.56,1497,41.55,84,0,No Failure
428,M00427,H,300.89,309.72,1174,37.28,186,0,No Failure
429,M00428,L,299.35,310.36,1802,59.74,94,0,No Failure
430,M00429,M,299.26,310.01,1696,42.18,195,0,No Failure
431,M00430,L,296.06,306.28,1627,49.36,224,1,General Failure
432,M00431,L,300.58,310.82,1069,43.22,71,0,No Failure
433,M00432,H,301.9,312.71,1423,35.05,143,0,No Failure
