time_s,power_W,operation_state,anomaly_label
12.4,710.639,ramp_up,0
12.5,725.072,ramp_up,0
12.6,744.409,ramp_up,0
12.7,741.351,ramp_up,0
12.8,735.24,ramp_up,0
12.9,771.872,ramp_up,0
13.0,791.737,ramp_up,0
13.1,792.43,ramp_up,0
13.2,802.447,ramp_up,0
13.3,822.799,ramp_up,0
13.4,845.241,ramp_up,0
13.5,839.255,ramp_up,0
13.6,835.006,ramp_up,0
13.7,857.274,ramp_up,0
13.8,874.057,ramp_up,0
13.9,866.433,ramp_up,0
14.0,909.275,ramp_up,0
14.1,902.83,ramp_up,0
14.2,930.133,ramp_up,0
14.3,938.37,ramp_up,0
14.4,944.299,ramp_up,0
14.5,979.566,ramp_up,0
14.6,965.29,ramp_up,0
14.7,975.955,ramp_up,0
14.8,999.538,ramp_up,0
14.9,1018.094,ramp_up,0
15.0,1019.985,cutting,0
15.1,970.769,cutting,0
15.2,1017.277,cutting,0
15.3,1007.278,cutting,0
15.4,1058.281,cutting,0
15.5,983.999,cutting,0
15.6,1010.643,cutting,0
15.7,997.988,cutting,0
15.8,980.836,cutting,0
15.9,1048.168,cutting,0
16.0,1083.082,cutting,0
16.1,1019.284,cutting,0
16.2,1025.951,cutting,0
16.3,997.633,cutting,0
16.4,1071.338,cutting,0
16.5,987.045,cutting,0
16.6,1016.35,cutting,0
16.7,957.204,cutting,0
16.8,987.715,cutting,0
16.9,967.446,cutting,0
17.0,917.266,cutting,0
17.1,1016.168,cutting,0
17.2,1047.177,cutting,0
17.3,969.377,cutting,0
17.4,1045.563,cutting,0
17.5,1039.862,cutting,0
17.6,1013.931,cutting,0
17.7,1033.514,cutting,0
17.8,960.816,cutting,0
17.9,1022.213,cutting,0
18.0,1040.939,cutting,0
18.1,945.171,cutting,0
18.2,982.779,cutting,0
18.3,1037.345,cutting,0
18.4,1000.325,cutting,0
18.5,991.034,cutting,0
18.6,992.517,cutting,0
18.7,1044.979,cutting,0
18.8,1044.908,cutting,0
18.9,1076.829,cutting,0
19.0,1000.077,cutting,0
19.1,1083.211,cutting,0
19.2,1018.759,cutting,0
19.3,1040.293,cutting,0
19.4,977.853,cutting,0
19.5,946.255,cutting,0
19.6,965.774,cutting,0
19.7,952.697,cutting,0
19.8,979.918,cutting,0
19.9,1027.774,cutting,0
20.0,1057.757,cutting,0
20.1,1042.028,cutting,0
20.2,1028.05,cutting,0
20.3,1038.104,cutting,0
20.4,1075.108,cutting,0
20.5,1088.084,cutting,0
20.6,1025.554,cutting,0
20.7,1017.805,cutting,0
20.8,980.809,cutting,0
20.9,1001.725,cutting,0
21.0,1020.203,cutting,0
21.1,883.575,cutting,0
21.2,999.39,cutting,0
21.3,981.972,cutting,0
21.4,934.137,cutting,0
21.5,1041.794,cutting,0
21.6,1040.826,cutting,0
21.7,1065.469,cutting,0
21.8,1007.12,cutting,0
21.9,1125.471,cutting,0
22.0,1044.446,cutting,0
22.1,1014.55,cutting,0
22.2,1064.642,cutting,0
22.3,1020.52,cutting,0
22.4,1017.482,cutting,0
22.5,1025.713,cutting,0
22.6,915.825,cutting,0
22.7,1056.117,cutting,0
22.8,999.14,cutting,0
22.9,1036.55,cutting,0
23.0,1072.871,cutting,0
23.1,1025.74,cutting,0
23.2,1066.058,cutting,0
23.3,1079.243,cutting,0
23.4,1042.495,cutting,0
23.5,1048.128,cutting,0
23.6,959.406,cutting,0
23.7,959.523,cutting,0
23.8,950.192,cutting,0
23.9,998.264,cutting,0
24.0,1117.714,cutting,0
24.1,1003.685,cutting,0
24.2,1001.94,cutting,0
24.3,1019.94,cutting,0
24.4,1071.276,cutting,0
24.5,1073.302,cutting,0
24.6,1014.243,cutting,0
24.7,1089.496,cutting,0
24.8,1046.13,cutting,0
24.9,1063.568,cutting,0
25.0,950.035,cutting,0
25.1,950.683,cutting,0
25.2,1013.922,cutting,0
25.3,923.075,cutting,0
25.4,999.262,cutting,0
25.5,1003.519,cutting,0
25.6,1008.238,cutting,0
25.7,1030.245,cutting,0
25.8,1042.177,cutting,0
25.9,1061.173,cutting,0
26.0,1039.067,cutting,0
26.1,1053.958,cutting,0
26.2,1152.08,cutting,0
26.3,1078.545,cutting,0
26.4,1045.812,cutting,0
26.5,1022.914,cutting,0
26.6,970.576,cutting,0
26.7,995.396,cutting,0
26.8,976.427,cutting,0
26.9,1022.442,cutting,0
27.0,967.398,cutting,0
27.1,930.735,cutting,0
27.2,1009.09,cutting,0
27.3,1066.696,cutting,0
27.4,1137.728,cutting,0
27.5,1090.888,cutting,0
27.6,1017.419,cutting,0
27.7,1034.643,cutting,0
27.8,995.421,cutting,0
27.9,1006.905,cutting,0
28.0,968.022,cutting,0
28.1,931.788,cutting,0
28.2,1000.63,cutting,0
28.3,994.306,cutting,0
28.4,990.064,cutting,0
28.5,1021.303,cutting,0
28.6,1095.553,cutting,0
28.7,1042.851,cutting,0
28.8,1036.307,cutting,0
28.9,1085.04,cutting,0
29.0,995.822,cutting,0
29.1,1071.891,cutting,0
29.2,1005.775,cutting,0
29.3,989.218,cutting,0
29.4,1006.987,cutting,0
29.5,1050.217,cutting,0
29.6,959.529,cutting,0
29.7,1019.437,cutting,0
29.8,1006.256,cutting,0
29.9,956.416,cutting,0
30.0,1052.068,cutting,0
30.1,1005.985,cutting,0
30.2,995.511,cutting,0
30.3,1026.2,cutting,0
30.4,1028.932,cutting,0
30.5,1069.037,cutting,0
30.6,1011.245,cutting,0
30.7,1074.469,cutting,0
30.8,1014.858,cutting,0
30.9,969.337,cutting,0
31.0,957.507,cutting,0
31.1,993.251,cutting,0
31.2,919.411,cutting,0
31.3,925.06,cutting,0
31.4,984.645,cutting,0
31.5,1052.854,cutting,0
31.6,1050.23,cutting,0
31.7,1053.303,cutting,0
31.8,1047.444,cutting,0
31.9,974.455,cutting,0
32.0,1029.191,cutting,0
32.1,964.43,cutting,0
32.2,1040.522,cutting,0
32.3,997.384,cutting,0
32.4,985.186,cutting,0
32.5,998.959,cutting,0
32.6,999.629,cutting,0
32.7,1005.825,cutting,0
32.8,1023.473,cutting,0
32.9,1005.94,cutting,0
33.0,993.833,cutting,0
33.1,1062.621,cutting,0
33.2,1105.551,cutting,0
33.3,1087.944,cutting,0
33.4,1036.462,cutting,0
33.5,1052.241,cutting,0
33.6,1000.21,cutting,0
33.7,1014.704,cutting,0
33.8,969.175,cutting,0
33.9,990.192,cutting,0
34.0,1056.804,cutting,0
34.1,1021.522,cutting,0
34.2,1059.565,cutting,0
34.3,995.126,cutting,0
34.4,1012.848,cutting,0
34.5,1046.931,cutting,0
34.6,1073.866,cutting,0
34.7,1046.601,cutting,0
34.8,1082.434,cutting,0
34.9,1015.634,cutting,0
35.0,1067.605,cutting,0
35.1,1038.99,cutting,0
35.2,953.979,cutting,0
35.3,1006.503,cutting,0
35.4,977.78,cutting,0
35.5,1027.342,cutting,0
35.6,984.324,cutting,0
35.7,1028.691,cutting,0
35.8,1051.984,cutting,0
35.9,949.128,cutting,0
36.0,987.477,cutting,0
36.1,1059.2,cutting,0
36.2,1045.127,cutting,0
36.3,1074.305,cutting,0
36.4,1032.296,cutting,0
36.5,964.702,cutting,0
36.6,1007.53,cutting,0
36.7,961.191,cutting,0
36.8,977.033,cutting,0
36.9,971.512,cutting,0
37.0,1011.627,cutting,0
37.1,963.676,cutting,0
37.2,989.495,cutting,0
37.3,964.459,cutting,0
37.4,1126.706,cutting,0
37.5,1020.038,cutting,0
37.6,1021.434,cutting,0
37.7,1001.887,cutting,0
37.8,1006.148,cutting,0
37.9,998.091,cutting,0
38.0,1020.936,cutting,0
38.1,995.486,cutting,0
38.2,996.558,cutting,0
38.3,966.77,cutting,0
38.4,993.476,cutting,0
38.5,1051.797,cutting,0
38.6,1023.585,cutting,0
38.7,1049.451,cutting,0
38.8,978.506,cutting,0
38.9,1072.801,cutting,0
39.0,1062.31,cutting,0
39.1,1090.578,cutting,0
39.2,936.537,cutting,0
39.3,1018.571,cutting,0
39.4,998.635,cutting,0
39.5,994.351,cutting,0
39.6,963.253,cutting,0
39.7,993.035,cutting,0
39.8,1017.14,cutting,0
39.9,1006.157,cutting,0
40.0,1009.193,cutting,0
40.1,1026.89,cutting,0
40.2,1032.8,cutting,0
40.3,1054.686,cutting,0
40.4,1028.619,cutting,0
40.5,977.965,cutting,0
40.6,1083.621,cutting,0
40.7,959.957,cutting,0
40.8,1002.181,cutting,0
40.9,947.985,cutting,0
41.0,975.817,cutting,0
41.1,950.589,cutting,0
41.2,988.001,cutting,0
41.3,970.838,cutting,0
41.4,969.223,cutting,0
41.5,1040.6,cutting,0
41.6,1089.588,cutting,0
41.7,1063.562,cutting,0
41.8,1057.62,cutting,0
41.9,1012.665,cutting,0
42.0,1036.46,cutting,0
42.1,1040.954,cutting,0
42.2,987.246,cutting,0
42.3,1027.894,cutting,0
42.4,985.593,cutting,0
42.5,996.034,cutting,0
42.6,969.569,cutting,0
42.7,979.159,cutting,0
42.8,1017.594,cutting,0
42.9,1038.596,cutting,0
43.0,1051.259,cutting,0
43.1,1013.571,cutting,0
43.2,1027.717,cutting,0
43.3,1050.251,cutting,0
43.4,977.386,cutting,0
43.5,1065.777,cutting,0
43.6,1025.058,cutting,0
43.7,1001.007,cutting,0
43.8,963.796,cutting,0
43.9,1012.305,cutting,0
44.0,975.448,cutting,0
44.1,1059.259,cutting,0
44.2,1019.137,cutting,0
44.3,968.257,cutting,0
44.4,1060.565,cutting,0
44.5,1028.078,cutting,0
44.6,1034.369,cutting,0
44.7,1043.652,cutting,0
44.8,1040.593,cutting,0
44.9,1041.899,cutting,0
45.0,1044.84,cutting,0
45.1,1019.133,cutting,0
45.2,965.793,cutting,0
45.3,936.905,cutting,0
45.4,955.464,cutting,0
45.5,1002.359,cutting,0
45.6,1031.562,cutting,0
45.7,1078.83,cutting,0
45.8,983.771,cutting,0
45.9,1046.3,cutting,0
46.0,1043.271,cutting,0
46.1,1038.634,cutting,0
46.2,1052.357,cutting,0
46.3,1028.038,cutting,0
46.4,1013.013,cutting,0
46.5,984.497,cutting,0
46.6,1007.838,cutting,0
46.7,1022.339,cutting,0
46.8,1040.182,cutting,0
46.9,968.864,cutting,0
47.0,960.47,cutting,0
47.1,1002.19,cutting,0
47.2,997.408,cutting,0
47.3,1076.269,cutting,0
47.4,1020.922,cutting,0
47.5,1055.526,cutting,0
47.6,1002.573,cutting,0
47.7,1028.001,cutting,0
47.8,1033.328,cutting,0
47.9,1064.895,cutting,0
48.0,973.103,cutting,0
48.1,1000.185,cutting,0
48.2,910.246,cutting,0
48.3,943.104,cutting,0
48.4,965.424,cutting,0
48.5,989.609,cutting,0
48.6,1037.346,cutting,0
48.7,1058.729,cutting,0
48.8,991.106,cutting,0
48.9,1071.104,cutting,0
49.0,1012.083,cutting,0
49.1,1107.567,cutting,0
49.2,1041.655,cutting,0
49.3,1020.949,cutting,0
49.4,994.74,cutting,0
49.5,988.309,cutting,0
49.6,983.486,cutting,0
49.7,959.692,cutting,0
49.8,1016.929,cutting,0
49.9,1012.31,cutting,0
50.0,612.338,unload,0
50.1,597.751,unload,0
50.2,611.09,unload,0
50.3,585.222,unload,0
50.4,663.001,unload,0
50.5,586.067,unload,0
50.6,590.826,unload,0
50.7,616.172,unload,0
50.8,621.043,unload,0
50.9,584.527,unload,0
51.0,568.918,unload,0
51.1,573.682,unload,0
51.2,580.964,unload,0
51.3,584.718,unload,0
51.4,595.877,unload,0
51.5,617.372,unload,0
51.6,618.273,unload,0
51.7,587.833,unload,0
51.8,608.539,unload,0
51.9,614.698,unload,0
52.0,624.095,unload,0
52.1,595.952,unload,0
52.2,585.436,unload,0
52.3,612.298,unload,0
52.4,626.076,unload,0
52.5,589.365,unload,0
52.6,633.876,unload,0
52.7,629.74,unload,0
52.8,594.071,unload,0
52.9,570.568,unload,0
53.0,588.055,unload,0
53.1,592.459,unload,0
53.2,608.362,unload,0
53.3,568.723,unload,0
53.4,642.548,unload,0
53.5,640.918,unload,0
53.6,585.762,unload,0
53.7,565.271,unload,0
53.8,595.73,unload,0
53.9,606.406,unload,0
54.0,623.003,unload,0
54.1,611.577,unload,0
54.2,595.127,unload,0
54.3,563.326,unload,0
54.4,607.939,unload,0
54.5,613.916,unload,0
54.6,593.156,unload,0
54.7,603.684,unload,0
54.8,602.394,unload,0
54.9,594.348,unload,0
55.0,577.915,unload,0
55.1,604.882,unload,0
55.2,573.192,unload,0
55.3,623.946,unload,0
55.4,582.538,unload,0
55.5,607.573,unload,0
55.6,585.553,unload,0
55.7,605.524,unload,0
55.8,594.899,unload,0
55.9,608.28,unload,0
56.0,584.454,unload,0
56.1,569.338,unload,0
56.2,593.619,unload,0
56.3,592.35,unload,0
56.4,571.598,unload,0
56.5,586.247,unload,0
56.6,568.543,unload,0
56.7,600.725,unload,0
56.8,591.93,unload,0
56.9,598.922,unload,0
57.0,645.505,unload,0
57.1,601.507,unload,0
57.2,605.383,unload,0
57.3,609.947,unload,0
57.4,596.152,unload,0
57.5,588.016,unload,0
57.6,614.46,unload,0
57.7,617.179,unload,0
57.8,546.155,unload,0
57.9,595.729,unload,0
58.0,592.53,unload,0
58.1,588.479,unload,0
58.2,620.989,unload,0
58.3,589.005,unload,0
58.4,614.17,unload,0
58.5,588.845,unload,0
58.6,591.276,unload,0
58.7,611.723,unload,0
58.8,585.322,unload,0
58.9,595.693,unload,0
59.0,578.743,unload,0
59.1,582.665,unload,0
59.2,611.597,unload,0
59.3,609.12,unload,0
59.4,578.004,unload,0
59.5,577.285,unload,0
59.6,644.419,unload,0
59.7,587.013,unload,0
59.8,582.9,unload,0
59.9,607.793,unload,0
60.0,413.161,idle,0
60.1,416.444,idle,0
60.2,426.507,idle,0
60.3,427.347,idle,0
60.4,417.786,idle,0
60.5,430.093,idle,0
60.6,418.211,idle,0
60.7,417.441,idle,0
60.8,419.31,idle,0
60.9,416.905,idle,0
61.0,423.572,idle,0
61.1,421.618,idle,0
61.2,413.161,idle,0
61.3,420.799,idle,0
61.4,415.026,idle,0
61.5,414.739,idle,0
61.6,418.244,idle,0
61.7,427.503,idle,0
61.8,421.569,idle,0
61.9,429.5,idle,0
62.0,431.854,idle,0
62.1,419.086,idle,0
62.2,414.518,idle,0
62.3,413.061,idle,0
62.4,421.586,idle,0
62.5,426.285,idle,0
62.6,432.021,idle,0
62.7,408.906,idle,0
62.8,426.749,idle,0
62.9,427.934,idle,0
63.0,438.864,idle,0
63.1,420.877,idle,0
63.2,419.129,idle,0
63.3,407.239,idle,0
63.4,413.17,idle,0
63.5,410.567,idle,0
63.6,411.322,idle,0
63.7,412.211,idle,0
63.8,407.146,idle,0
63.9,418.674,idle,0
64.0,422.507,idle,0
64.1,425.513,idle,0
64.2,418.664,idle,0
64.3,427.883,idle,0
64.4,427.965,idle,0
64.5,407.303,idle,0
64.6,417.264,idle,0
64.7,409.458,idle,0
64.8,411.623,idle,0
64.9,420.929,idle,0
65.0,418.457,idle,0
65.1,431.171,idle,0
65.2,435.845,idle,0
65.3,422.833,idle,0
65.4,417.945,idle,0
65.5,418.316,idle,0
65.6,419.396,idle,0
65.7,424.072,idle,0
65.8,413.625,idle,0
65.9,424.169,idle,0
66.0,417.554,idle,0
66.1,427.974,idle,0
66.2,430.415,idle,0
66.3,433.417,idle,0
66.4,418.276,idle,0
66.5,408.729,idle,0
66.6,406.055,idle,0
66.7,417.199,idle,0
66.8,408.206,idle,0
66.9,406.375,idle,0
67.0,416.732,idle,0
67.1,411.674,idle,0
67.2,425.073,idle,0
67.3,435.069,idle,0
67.4,417.761,idle,0
67.5,422.083,idle,0
67.6,406.966,idle,0
67.7,421.039,idle,0
67.8,413.986,idle,0
67.9,410.805,idle,0
68.0,404.71,idle,0
68.1,432.403,idle,0
68.2,406.701,idle,0
68.3,409.942,idle,0
68.4,419.692,idle,0
68.5,421.93,idle,0
68.6,421.966,idle,0
68.7,420.5,idle,0
68.8,412.497,idle,0
68.9,425.784,idle,0
69.0,421.191,idle,0
69.1,408.039,idle,0
69.2,432.473,idle,0
69.3,416.926,idle,0
69.4,427.251,idle,0
69.5,408.031,idle,0
69.6,410.155,idle,0
69.7,415.09,idle,0
69.8,414.149,idle,0
69.9,427.788,idle,0
70.0,400.052,ramp_up,0
70.1,433.514,ramp_up,0
70.2,431.375,ramp_up,0
70.3,461.75,ramp_up,0
70.4,470.047,ramp_up,0
70.5,472.945,ramp_up,0
70.6,518.237,ramp_up,0
70.7,503.023,ramp_up,0
70.8,528.729,ramp_up,0
70.9,511.643,ramp_up,0
71.0,538.093,ramp_up,0
71.1,552.652,ramp_up,0
71.2,565.257,ramp_up,0
71.3,571.466,ramp_up,0
71.4,577.658,ramp_up,0
71.5,562.485,ramp_up,0
71.6,604.798,ramp_up,0
71.7,612.608,ramp_up,0
71.8,632.556,ramp_up,0
71.9,657.941,ramp_up,0
72.0,686.251,ramp_up,0
72.1,678.033,ramp_up,0
72.2,695.863,ramp_up,0
72.3,703.228,ramp_up,0
72.4,716.408,ramp_up,0
72.5,726.777,ramp_up,0
72.6,728.56,ramp_up,0
72.7,739.82,ramp_up,0
72.8,759.705,ramp_up,0
72.9,789.34,ramp_up,0
73.0,789.154,ramp_up,0
73.1,811.1,ramp_up,0
73.2,788.244,ramp_up,0
73.3,818.992,ramp_up,0
73.4,832.609,ramp_up,0
73.5,846.086,ramp_up,0
73.6,835.352,ramp_up,0
73.7,841.717,ramp_up,0
73.8,850.356,ramp_up,0
73.9,883.068,ramp_up,0
74.0,928.008,ramp_up,0
74.1,914.488,ramp_up,0
74.2,909.347,ramp_up,0
74.3,939.959,ramp_up,0
74.4,944.275,ramp_up,0
74.5,961.954,ramp_up,0
74.6,966.487,ramp_up,0
74.7,968.377,ramp_up,0
74.8,989.546,ramp_up,0
74.9,1016.506,ramp_up,0
75.0,1030.498,cutting,0
75.1,1047.754,cutting,0
75.2,955.485,cutting,0
75.3,1022.81,cutting,0
75.4,987.834,cutting,0
75.5,998.593,cutting,0
75.6,1047.0,cutting,0
75.7,1013.516,cutting,0
75.8,1042.169,cutting,0
75.9,1068.333,cutting,0
76.0,1076.459,cutting,0
76.1,1083.769,cutting,0
76.2,1095.38,cutting,0
76.3,1058.003,cutting,0
76.4,1009.762,cutting,0
76.5,1095.717,cutting,0
76.6,995.87,cutting,0
76.7,1001.657,cutting,0
76.8,959.966,cutting,0
76.9,914.023,cutting,0
77.0,973.318,cutting,0
77.1,1016.857,cutting,0
77.2,1048.455,cutting,0
77.3,1044.48,cutting,0
77.4,1080.69,cutting,0
77.5,1090.912,cutting,0
77.6,1087.489,cutting,0
77.7,1043.728,cutting,0
77.8,1032.907,cutting,0
77.9,1007.245,cutting,0
78.0,970.173,cutting,0
78.1,1040.6,cutting,0
78.2,942.967,cutting,0
78.3,986.313,cutting,0
78.4,1005.353,cutting,0
78.5,935.705,cutting,0
78.6,1051.797,cutting,0
78.7,1027.903,cutting,0
78.8,1058.81,cutting,0
78.9,1044.558,cutting,0
79.0,1001.013,cutting,0
79.1,1053.824,cutting,0
79.2,1038.015,cutting,0
79.3,1054.153,cutting,0
79.4,1021.211,cutting,0
79.5,934.24,cutting,0
79.6,1025.63,cutting,0
79.7,1015.436,cutting,0
79.8,1021.326,cutting,0
79.9,1023.578,cutting,0
80.0,996.814,cutting,0
80.1,1055.049,cutting,0
80.2,1035.722,cutting,0
80.3,1156.251,cutting,0
80.4,1047.594,cutting,0
80.5,1010.995,cutting,0
80.6,1026.458,cutting,0
80.7,1074.106,cutting,0
80.8,988.67,cutting,0
80.9,910.47,cutting,0
81.0,1039.64,cutting,0
81.1,998.251,cutting,0
81.2,974.605,cutting,0
81.3,1027.778,cutting,0
81.4,984.831,cutting,0
81.5,991.274,cutting,0
81.6,1078.811,cutting,0
81.7,1036.01,cutting,0
81.8,1075.038,cutting,0
81.9,1052.617,cutting,0
82.0,1071.267,cutting,0
82.1,1031.876,cutting,0
82.2,941.096,cutting,0
82.3,1023.046,cutting,0
82.4,973.236,cutting,0
82.5,1017.406,cutting,0
82.6,993.787,cutting,0
82.7,1049.029,cutting,0
82.8,1001.792,cutting,0
82.9,956.057,cutting,0
83.0,1030.846,cutting,0
83.1,1070.165,cutting,0
83.2,1044.439,cutting,0
83.3,1037.646,cutting,0
83.4,1097.024,cutting,0
83.5,1026.965,cutting,0
83.6,1053.945,cutting,0
83.7,1007.9,cutting,0
83.8,941.281,cutting,0
83.9,953.791,cutting,0
84.0,977.17,cutting,0
84.1,1006.688,cutting,0
84.2,980.158,cutting,0
84.3,974.126,cutting,0
84.4,1002.751,cutting,0
84.5,1031.445,cutting,0
84.6,1024.814,cutting,0
84.7,1034.87,cutting,0
84.8,1113.541,cutting,0
84.9,1046.073,cutting,0
85.0,992.754,cutting,0
85.1,1006.095,cutting,0
85.2,1049.615,cutting,0
85.3,1010.106,cutting,0
85.4,983.4,cutting,0
85.5,945.557,cutting,0
85.6,944.971,cutting,0
85.7,1007.155,cutting,0
85.8,1030.449,cutting,0
85.9,989.935,cutting,0
86.0,1007.732,cutting,0
86.1,1054.518,cutting,0
86.2,973.174,cutting,0
86.3,979.643,cutting,0
86.4,1023.796,cutting,0
86.5,1030.047,cutting,0
86.6,1008.43,cutting,0
86.7,1023.633,cutting,0
86.8,1041.525,cutting,0
86.9,1021.988,cutting,0
87.0,991.383,cutting,0
87.1,1089.298,cutting,0
87.2,1088.965,cutting,0
87.3,1076.553,cutting,0
87.4,1024.615,cutting,0
87.5,1070.465,cutting,0
87.6,979.797,cutting,0
87.7,1032.112,cutting,0
87.8,943.027,cutting,0
87.9,1000.207,cutting,0
88.0,1036.855,cutting,0
88.1,991.524,cutting,0
88.2,1043.213,cutting,0
88.3,989.037,cutting,0
88.4,1001.236,cutting,0
88.5,1000.262,cutting,0
88.6,1044.712,cutting,0
88.7,1039.292,cutting,0
88.8,1093.377,cutting,0
88.9,1112.975,cutting,0
89.0,1068.163,cutting,0
89.1,1007.978,cutting,0
89.2,1054.338,cutting,0
89.3,1067.156,cutting,0
89.4,1027.851,cutting,0
89.5,1003.86,cutting,0
89.6,1020.528,cutting,0
89.7,1034.237,cutting,0
89.8,903.574,cutting,0
89.9,1060.3,cutting,0
90.0,1049.121,cutting,0
90.1,1053.79,cutting,0
90.2,1029.537,cutting,0
90.3,1063.86,cutting,0
90.4,1077.703,cutting,0
90.5,998.373,cutting,0
90.6,1065.128,cutting,0
90.7,1026.756,cutting,0
90.8,1060.58,cutting,0
90.9,1020.27,cutting,0
91.0,982.648,cutting,0
91.1,989.284,cutting,0
91.2,1015.025,cutting,0
91.3,1008.514,cutting,0
91.4,1036.892,cutting,0
91.5,1007.964,cutting,0
91.6,1002.333,cutting,0
91.7,1034.612,cutting,0
91.8,1006.998,cutting,0
91.9,1025.569,cutting,0
92.0,1055.096,cutting,0
92.1,971.515,cutting,0
92.2,970.337,cutting,0
92.3,1025.537,cutting,0
92.4,971.885,cutting,0
92.5,986.745,cutting,0
92.6,947.151,cutting,0
92.7,963.227,cutting,0
92.8,1002.779,cutting,0
92.9,1085.784,cutting,0
93.0,1058.212,cutting,0
93.1,994.159,cutting,0
93.2,1072.716,cutting,0
93.3,1086.93,cutting,0
93.4,1070.266,cutting,0
93.5,990.07,cutting,0
93.6,1015.402,cutting,0
93.7,1077.678,cutting,0
93.8,959.867,cutting,0
93.9,999.065,cutting,0
94.0,962.536,cutting,0
94.1,952.099,cutting,0
94.2,994.112,cutting,0
94.3,1060.375,cutting,0
94.4,1079.56,cutting,0
94.5,1019.586,cutting,0
94.6,1039.935,cutting,0
94.7,1024.911,cutting,0
94.8,976.38,cutting,0
94.9,1058.251,cutting,0
95.0,1076.673,cutting,0
95.1,1059.771,cutting,0
95.2,978.887,cutting,0
95.3,1034.762,cutting,0
95.4,1026.035,cutting,0
95.5,982.106,cutting,0
95.6,1005.214,cutting,0
95.7,1007.174,cutting,0
95.8,1043.554,cutting,0
95.9,1111.347,cutting,0
96.0,1023.238,cutting,0
96.1,1015.298,cutting,0
96.2,1082.499,cutting,0
96.3,1043.243,cutting,0
96.4,960.63,cutting,0
96.5,976.204,cutting,0
96.6,969.563,cutting,0
96.7,968.643,cutting,0
96.8,998.852,cutting,0
96.9,1026.681,cutting,0
97.0,996.329,cutting,0
97.1,1021.228,cutting,0
97.2,1005.236,cutting,0
97.3,1080.649,cutting,0
97.4,1101.319,cutting,0
97.5,1048.411,cutting,0
